query,lat,lon
"Del Chifre Beach in Olinda, Recife, Brazil",,
"Recife, Brazil",-8.0584933,-34.8848193
"Angels Beach East Ballina, NSW, Australia",-28.8470996,153.5806154
"Cooee Beach west of Burnie, Tasmania, Australia",,
"Tasmania, Australia",-42.035067,146.6366887
"Point Plomber North of Port Macquarie, NSW, Australia",,
"NSW, Australia",-31.8759835,147.2869493
"Dee Why, NSW, Australia",-33.7526555,151.2875707
"North Steyne, NSW, Australia",-33.7876723,151.2876579
"Nielsen Park Vaucluse Sydney Harbour, NSW, Australia",,
"Mendocino County, California, United States",39.3176491,-123.4126399
"Avalon Beach, NSW, Australia",-33.6365039,151.3290299
"Dorsch Beach, Fredricksted Island St Croix, United States Virgin Islands",,
"Fredricksted Island St Croix, United States Virgin Islands",,
United States Virgin Islands,17.789187,-64.7080574
"Between Bourail and Moindou, Kélé, New Caledonia",,
"Kélé, New Caledonia",-21.6958828,165.6225814
"Western Australia, Australia",-25.2303005,121.0187246
"Lovers Point Pacific Grove, California, United States",36.6233941,-121.9066666
"Salmon Creek, Sonoma County California, United States",38.3453665,-123.0574204
"Ka'alu""alu Beach, Hawaii West Coast Big Island, United States",,
"Hawaii West Coast Big Island, United States",,
United States,39.7837304,-100.445882
"Crowdy Bay, NSW, Australia",-31.8318,152.6679
"Prevelly Beach Magaret River, Western Australia, Australia",,
"Hakahau Bay, Marquesas Islands, French Polynesia",,
"Marquesas Islands, French Polynesia",-9.7793255,-139.0067835
"Pine Trees Hanalei Bay Kaui, Hawaii, United States",,
"Hawaii, United States",19.5938015,-155.4283701
"Matagorda Beach Matagorda, Texas, United States",28.6118222,-95.9400871
Samoa,-13.7693895,-172.12005
"Catagena Province, Bolivar, del Isolate, Colombia",,
"Bolivar, del Isolate, Colombia",,
Colombia,4.099917,-72.9088133
"Cook Esplanade Thursday Island, Queensland, Australia",-10.5763109,142.2094493
"Kangaroo Island, South Australia, Australia",-35.8182635,137.1566125
"Catalina Island, Off California, United States",,
"Off California, United States",47.3009353,-123.2260705
"Cocos Islands, Costa Rica",5.5128003,-87.0936865
"Florida, United States",27.7567667,-81.4639835
"Galveston, Texas, United States",29.3872254,-94.992736
"Cabarita Beach, NSW, Australia",-28.3309421,153.5701894
"North of Grand Bahama near Freeport, Atlantic Ocean near Big Grand Cay, Bahamas",,
"Atlantic Ocean near Big Grand Cay, Bahamas",,
Bahamas,24.7736546,-78.0000547
"Cayo Costa Boca Grande, Florida, United States",,
"Tathra Beach, NSW, Australia",-36.7132712,149.978655
"Carolina Beach, Carolina, Puerto Rico",18.4476715,-65.9994824
"Seacliff beach Adelaide, South Australia, Australia",-35.0316613,138.5179798
"Taiohae Bay, Nuku Hiva, French Polynesia",,
"Nuku Hiva, French Polynesia",-8.8733104,-140.1245635
"Playa de Palma beach, Majorca, Spain",39.5177731,2.742604
"Los Mollinas, Fuerteventura, Spain",,
"Fuerteventura, Spain",28.4003769,-14.0048697
"Jupiter Inlet off Jupiter Beach Palm Beach County, Florida, United States",,
"New Smyrna Beach, Florida, United States",29.0258132,-80.9271271
"Spanish Cay, Great Abaco Islands, Bahamas",,
"Great Abaco Islands, Bahamas",26.5811252,-77.235473
"Hoicks Hollow Nantucket Beach, Massachusetts, United States",,
"Massachusetts, United States",42.3788774,-72.032366
"Mfazazana Hibberdene, KwaZulu-Natal, South Africa",,
"KwaZulu-Natal, South Africa",-28.503833,30.8875009
"Norries Headland Cabarita Beach, NSW, Australia",-28.3361163,153.5776659
"Wantagh, Long Island NY, United States",,
"Long Island NY, United States",40.7521918,-73.939226
"Coligny Beach Hilton Head Island, South Carolina, United States",32.1600053,-80.7208796
"Beach Marker 24 Hilton Head Island, South Carolina, United States",32.1263371,-80.7851688
"Boca Grande, Florida, United States",26.7489586,-82.262039
"Montara State Beach, California, United States",37.5504599,-122.5141235
"Sunset Beach, North Carolina, United States",33.880728,-78.512231
"Espiitu Santo Island, South Santo, Vanuatu",,
"South Santo, Vanuatu",,
Vanuatu,-16.5255069,168.1069154
"Port Noarlunga, South Australia, Australia",-35.1500622,138.4698986
"Rose Hall beach, Montego Bay, Jamaica",18.5147006,-77.7672582
"Olga Beach near Hadera Stream, Hadera, Israel",,
"Hadera, Israel",32.440742,34.9401053
"Chac Mool Beach Cancun, Quntana Roo, Mexico",,
"Quntana Roo, Mexico",25.7002338,-100.1507847
"Haa Dhaalu atoll, Kulhudhuffushi City, Maldives",,
"Kulhudhuffushi City, Maldives",6.6133951,73.0715623
"Everglades National Park Flamingo Lodge Highway West Miami-Dade (Monroe County), Florida, United States",,
"Sandtrax Port Beach North Fremantle Perth, WA, Australia",,
"WA, Australia",-25.2303005,121.0187246
"Duke of Orleans Bay, WA, Australia",-33.9172595,122.5869512
"Gunyah beach Bundeena Port Hacking, NSW, Australia",,
"Nuns Beach near Portland, Victoria, Australia",,
"Victoria, Australia",-36.5986096,144.6780052
"Verde Island, Batangas Resort, Philippines",,
"Batangas Resort, Philippines",13.8876532,120.9524215
"Blasck Wall Reach Swan River Perth, Western Australia, Australia",,
"Off Port Stephens near Newcastle, NSW, Australia",,
"The Wrecks walking track Moreton Island, Queensland, Australia",,
"Queensland, Australia",-22.1646782,144.5844903
"Bimini Bay, Bahamas",25.748137,-79.2826457
"Thompson Cove Beach, Near five Cays settlement West Caicos, Turks and Caicos",,
"Near five Cays settlement West Caicos, Turks and Caicos",,
Turks and Caicos,21.721746,-71.5527809
"Woorim Beach, Bribie Island,, Queensland, Australia",,
"Shipwreck Cove, Western Australia, Australia",-32.421104,115.7483797
"Cheynes beach, Western Australia, Australia",-34.8801321,118.4000174
"Vilankulo Bay, Inhambane Province, Mozambique",,
"Inhambane Province, Mozambique",-22.779116,34.5661741
"Off Haleiwa Boat Harbour Oahu, Hawaii, United States",,
"Islet of Kendek near Koumac, Grande Terre, New Caledonia",,
"Grande Terre, New Caledonia",-21.2355686,165.2446222
"Granites Beach near Westall Streaky Bay, South Australia, Australia",,
"South Australia, Australia",-30.5343665,135.6301212
Mozambique,-19.302233,34.9144977
"Red Sea, North of Marsa Alam, Egypt",,
"North of Marsa Alam, Egypt",,
Egypt,26.2540493,29.2675469
"Humpy Island Great Keppel Island, Queensland, Australia",,
"Curtis Island Near Gladstone QLD central coast, Queensland, Australia",,
"Greenough River Mouth Beach Cape Burney 12km south of Geraldton, Western Australia, Australia",,
"Khao Lak Beach, Phang Nga Province, Thailand",8.8049066,98.2585951
"Chatham Islands, Bay of Waitangi, New Zealand",,
"Bay of Waitangi, New Zealand",-35.2537235,174.0768925
"Maafushi, Kaafu, Maldives",3.9411571,73.489928
"Sand Piles Waiehu Beach Park, Maui, United States",,
"Maui, United States",20.8029568,-156.3106833
"Whitsunday Islands, Queensland, Australia",-20.2419212,148.9808391
"Bathtub Beach, Martin County, Florida, United States",27.1858831,-80.1607163
"Atlantida, Tela, Honduras",15.7878692,-87.5138688
"Brevard County Orlando, Florida, United States",28.5987502,-81.199068
"Pulau Reong Island, Timor Leste, Indonesia",,
"Timor Leste, Indonesia",-6.3289498,106.9550648
"Puerto Castillo, Trujillo Colon, Honduras",,
"Trujillo Colon, Honduras",16.016751,-85.9665771
"West of Dakhla, Southern Morocco, Morocco",,
"Southern Morocco, Morocco",,
Morocco,28.3347722,-10.3713379
"Falmouth, Montego Bay, Jamaica",18.445499,-77.8188557
"Central America, Gulf of Honduras, Belize",,
"Gulf of Honduras, Belize",,
Belize,17.1204943,-88.6859028
"North Shore Beach, Port Macquarie, NSW, Australia",-31.373342,152.9296992
"Trigg beach Sterling, Western Australia, Australia",,
"Ponce de Leon Inlet Volusia County, Florida, United States",29.0768191,-80.9176166
"14 Mile Beach Coral Bay (Gascoyne Region), Western Australia, Australia",,
"South Padre Island, Texas, United States",26.1036887,-97.1646938
"New Smyrna Beach, Floria, United States",,
"Floria, United States",42.9472663,-83.7686716
"New Smyrna Beach Beach Access 14 Volusia County, Florida, United States",,
"Goat Island (Moku'auia) La'ie Bay, Hawaii, United States",,
"Haleiwa, Oahu, Hawaii, United States",,
"Rosemary Beach Walton County, Florida, United States",30.2802919,-86.015565
"Water Sound  Beach Walton County, Florida, United States",30.3691634,-87.0327139
"Del Mar Beach San Diego, California, United States",32.973039,-117.2701334
"Maahvah Laamu Atoll, Maldives",,
Maldives,3.7203503,73.2244152
"Jamaica Beach, Galveston, United States",29.1831247,-94.9729396
"Providenciales Island, Turks and Caicos",,
"Mangareva Atoll, Gambier Islands, French Polynesia",,
"Gambier Islands, French Polynesia",-23.1571641,-134.954092
"South Carolina, United States",33.6874388,-80.4363743
"Turtle beach, Graet Courland Bay, Tobago",,
"Graet Courland Bay, Tobago",,
Tobago,11.2404616,-60.672006
"Flying Fish Marina, Clarence Town Long Isand, Bahamas",,
"Clarence Town Long Isand, Bahamas",,
"West beach Glenelg, South Australia, Australia",-34.952514,138.5070639
"Lighthouse bombie surf spot Exemouth, Western Australia, Australia",,
"Nunu Atoll, Maldives",,
"Bargara Beach, Queensland, Australia",-24.836992,152.4663409
"Old Man's, Waikiki, Hawaii, United States",,
"Rainbows, Oahu, Hawaii, United States",,
"Sandlnd Island, Jurian Bay, Western Australia, Australia",,
"Vaitarna River, Palghar District, Maharashtra, India",19.6529015,73.1823697
Trinidad and Tobago,10.7466905,-61.0840075
"Elizabeth Bay, Sydney Harbor, New  South Wales, Australia",,
"New  South Wales, Australia",-31.8759835,147.2869493
"Paradise Island Resort, Paradise Island, Bahamas",,
"Paradise Island, Bahamas",25.0833552,-77.3063342
"Walkers Beach, Elliston, South Australia, Australia",,
"Papiesfontein, Eastern Cape Province, South Africa",-33.9633931,24.9562381
"Baby Beach, Maui, Hawaii, United States",20.8823591,-156.6877451
"Tojahui Beach, Yavaros, Huatabampo, Sonora, Mexico",,
"Sonora, Mexico",29.3333331,-110.6666671
