,0
0,3203
1,3258
2,3796
3,4281
4,4352
5,4380
6,4399
7,4400
8,4401
9,4529
10,4615
11,4816
12,4833
13,4875
14,4876
15,5083
16,5114
17,5115
18,5183
19,5197
20,5275
21,5307
22,5389
23,5417
24,5560
25,5596
26,5875
27,5915
28,6034
29,6285
30,6298
31,6322
32,6341
33,6360
34,6364
35,6377
36,6416
37,6510
38,6511
39,6546
40,6552
41,6564
42,6641
43,6656
44,6681
45,6688
46,6774
47,6776
48,6785
49,6821
50,6836
51,6843
52,6844
53,6865
54,6928
55,6936
56,6940
57,6941
58,6942
59,6943
60,6944
61,6945
62,6946
63,6947
64,6948
65,6949
66,6950
67,6951
68,6955
69,6981
70,6987
71,6989
72,6990
73,6992
74,6993
75,6995
76,6996
77,6997
78,6998
79,6999
80,7000
81,7001
82,7002
83,7003
84,7004
85,7005
86,7006
87,7007
88,7008
89,7009
90,7032
91,7033
92,7034
93,7043
94,7044
95,7046
96,7047
97,7048
98,7051
99,7052
100,7053
101,7061
