,0
0,148
1,164
2,184
3,193
4,307
5,328
6,342
7,381
8,508
9,536
10,541
11,580
12,608
13,622
14,637
15,687
16,705
17,721
18,728
19,750
20,765
21,795
22,798
23,802
24,827
25,847
26,859
27,869
28,873
29,880
30,908
31,927
32,990
33,991
34,1044
35,1049
36,1060
37,1148
38,1212
39,1214
40,1218
41,1240
42,1254
43,1280
44,1284
45,1300
46,1307
47,1323
48,1384
49,1395
50,1410
51,1430
52,1434
53,1450
54,1475
55,1513
56,1564
57,1572
58,1586
59,1590
60,1653
61,1655
62,1668
63,1676
64,1682
65,1684
66,1690
67,1697
68,1703
69,1708
70,1713
71,1715
72,1731
73,1778
74,1783
75,1820
76,1826
77,1847
78,1861
79,1873
80,1889
81,1891
82,1903
83,1904
84,1912
85,1966
86,1981
87,1985
88,1993
89,2013
90,2017
91,2019
92,2030
93,2037
94,2040
95,2041
96,2099
97,2118
98,2122
99,2131
100,2139
101,2142
102,2172
103,2191
104,2199
105,2228
106,2236
107,2249
108,2262
109,2263
110,2271
111,2287
112,2312
113,2345
114,2398
115,2447
116,2496
117,2504
118,2581
119,2592
120,2593
121,2603
122,2720
123,2760
124,2763
125,2796
126,2811
127,2819
128,2843
129,2871
130,2884
131,2890
132,2907
133,2913
134,2944
135,2958
136,2964
137,3057
138,3076
139,3118
140,3152
141,3166
142,3183
143,3200
144,3203
145,3222
146,3241
147,3257
148,3258
149,3267
150,3402
151,3419
152,3503
153,3555
154,3600
155,3663
156,3719
157,3773
158,3796
159,3805
160,3806
161,3812
162,3813
163,3829
164,3866
165,3868
166,3934
167,3966
168,3976
169,3990
170,4019
171,4029
172,4035
173,4039
174,4047
175,4075
176,4082
177,4083
178,4103
179,4116
180,4121
181,4161
182,4164
183,4195
184,4199
185,4232
186,4248
187,4257
188,4271
189,4281
190,4301
191,4319
192,4352
193,4372
194,4380
195,4397
196,4399
197,4400
198,4401
199,4447
200,4465
201,4485
202,4488
203,4501
204,4529
205,4549
206,4558
207,4565
208,4615
209,4635
210,4649
211,4690
212,4725
213,4752
214,4781
215,4782
216,4784
217,4803
218,4816
219,4817
220,4820
221,4833
222,4842
223,4844
224,4864
225,4875
226,4876
227,4889
228,4900
229,4915
230,4925
231,4927
232,4943
233,4953
234,4979
235,4991
236,5008
237,5016
238,5017
239,5028
240,5042
241,5051
242,5083
243,5093
244,5095
245,5096
246,5100
247,5114
248,5115
249,5122
250,5124
251,5141
252,5169
253,5176
254,5183
255,5188
256,5192
257,5193
258,5196
259,5197
260,5198
261,5203
262,5214
263,5223
264,5239
265,5242
266,5246
267,5247
268,5251
269,5264
270,5275
271,5280
272,5297
273,5304
274,5307
275,5313
276,5318
277,5329
278,5330
279,5335
280,5343
281,5348
282,5350
283,5389
284,5398
285,5402
286,5405
287,5417
288,5435
289,5440
290,5442
291,5445
292,5446
293,5463
294,5467
295,5468
296,5479
297,5480
298,5496
299,5518
300,5546
301,5547
302,5549
303,5560
304,5570
305,5577
306,5578
307,5584
308,5591
309,5596
310,5603
311,5605
312,5625
313,5630
314,5645
315,5654
316,5663
317,5669
318,5670
319,5672
320,5681
321,5692
322,5707
323,5713
324,5714
325,5717
326,5718
327,5725
328,5729
329,5733
330,5734
331,5738
332,5744
333,5771
334,5773
335,5777
336,5779
337,5794
338,5803
339,5806
340,5809
341,5819
342,5820
343,5828
344,5831
345,5832
346,5848
347,5855
348,5859
349,5861
350,5862
351,5864
352,5869
353,5875
354,5886
355,5894
356,5898
357,5900
358,5903
359,5915
360,5927
361,5930
362,5936
363,5945
364,5960
365,5963
366,5971
367,5979
368,5980
369,5989
370,5991
371,5998
372,6002
373,6005
374,6011
375,6015
376,6017
377,6022
378,6034
379,6046
380,6051
381,6073
382,6075
383,6078
384,6082
385,6083
386,6084
387,6090
388,6092
389,6094
390,6095
391,6101
392,6102
393,6104
394,6106
395,6108
396,6109
397,6114
398,6115
399,6118
400,6126
401,6129
402,6136
403,6146
404,6147
405,6149
406,6151
407,6152
408,6156
409,6157
410,6160
411,6161
412,6162
413,6170
414,6171
415,6173
416,6174
417,6178
418,6181
419,6183
420,6189
421,6192
422,6193
423,6194
424,6197
425,6202
426,6203
427,6204
428,6208
429,6210
430,6211
431,6212
432,6213
433,6214
434,6225
435,6226
436,6227
437,6228
438,6229
439,6230
440,6231
441,6235
442,6237
443,6240
444,6241
445,6242
446,6248
447,6250
448,6253
449,6264
450,6269
451,6278
452,6282
453,6285
454,6287
455,6289
456,6290
457,6291
458,6298
459,6299
460,6300
461,6303
462,6304
463,6307
464,6310
465,6320
466,6322
467,6327
468,6328
469,6329
470,6330
471,6335
472,6339
473,6341
474,6344
475,6346
476,6347
477,6348
478,6350
479,6351
480,6358
481,6360
482,6363
483,6364
484,6366
485,6368
486,6373
487,6374
488,6377
489,6379
490,6382
491,6384
492,6389
493,6392
494,6396
495,6397
496,6398
497,6403
498,6406
499,6410
500,6411
501,6412
502,6413
503,6416
504,6419
505,6420
506,6421
507,6422
508,6423
509,6426
510,6428
511,6430
512,6433
513,6434
514,6437
515,6439
516,6441
517,6442
518,6443
519,6444
520,6447
521,6448
522,6450
523,6451
524,6455
525,6457
526,6458
527,6459
528,6463
529,6464
530,6466
531,6473
532,6476
533,6480
534,6482
535,6485
536,6487
537,6488
538,6489
539,6492
540,6497
541,6505
542,6510
543,6511
544,6519
545,6526
546,6532
547,6536
548,6537
549,6539
550,6543
551,6544
552,6545
553,6546
554,6548
555,6549
556,6552
557,6560
558,6562
559,6563
560,6564
561,6570
562,6582
563,6594
564,6600
565,6602
566,6608
567,6612
568,6616
569,6621
570,6623
571,6625
572,6626
573,6627
574,6628
575,6635
576,6638
577,6641
578,6644
579,6646
580,6647
581,6648
582,6650
583,6654
584,6655
585,6656
586,6657
587,6660
588,6661
589,6665
590,6666
591,6668
592,6669
593,6672
594,6673
595,6677
596,6681
597,6682
598,6687
599,6688
600,6690
601,6693
602,6695
603,6696
604,6698
605,6699
606,6702
607,6710
608,6711
609,6716
610,6717
611,6725
612,6727
613,6729
614,6730
615,6739
616,6741
617,6742
618,6755
619,6756
620,6758
621,6759
622,6760
623,6765
624,6767
625,6771
626,6774
627,6776
628,6778
629,6779
630,6785
631,6787
632,6800
633,6805
634,6808
635,6812
636,6813
637,6816
638,6817
639,6818
640,6819
641,6821
642,6830
643,6831
644,6832
645,6836
646,6842
647,6843
648,6844
649,6845
650,6847
651,6849
652,6851
653,6853
654,6855
655,6856
656,6865
657,6867
658,6868
659,6871
660,6873
661,6874
662,6879
663,6884
664,6885
665,6890
666,6894
667,6895
668,6897
669,6902
670,6903
671,6908
672,6910
673,6914
674,6920
675,6928
676,6931
677,6932
678,6933
679,6936
680,6940
681,6941
682,6942
683,6943
684,6944
685,6945
686,6946
687,6947
688,6948
689,6949
690,6950
691,6951
692,6953
693,6954
694,6955
695,6956
696,6957
697,6958
698,6959
699,6961
700,6962
701,6963
702,6964
703,6965
704,6966
705,6967
706,6968
707,6969
708,6970
709,6971
710,6972
711,6973
712,6974
713,6975
714,6976
715,6977
716,6978
717,6979
718,6980
719,6981
720,6982
721,6983
722,6984
723,6985
724,6987
725,6989
726,6990
727,6991
728,6992
729,6993
730,6994
731,6995
732,6996
733,6997
734,6998
735,6999
736,7000
737,7001
738,7002
739,7003
740,7004
741,7005
742,7006
743,7007
744,7008
745,7009
746,7010
747,7011
748,7012
749,7016
750,7017
751,7018
752,7019
753,7020
754,7021
755,7022
756,7023
757,7024
758,7025
759,7026
760,7027
761,7028
762,7029
763,7030
764,7031
765,7032
766,7033
767,7034
768,7035
769,7036
770,7037
771,7038
772,7039
773,7040
774,7041
775,7042
776,7043
777,7044
778,7045
779,7046
780,7047
781,7048
782,7049
783,7050
784,7051
785,7052
786,7053
787,7054
788,7055
789,7056
790,7057
791,7058
792,7059
793,7060
794,7061
795,7062
796,7063
797,7065
798,7066
799,7067
800,7068
801,7069
802,7070
803,7071
804,7072
805,7073
